Period,Male_or_Female,Median_age_at _divorce
2010,Male,45.2
2010,Female,42.5
2011,Male,45.3
2011,Female,42.8
2012,Male,45.6
2012,Female,43.1
2013,Male,46.3
2013,Female,43.8
2014,Male,46.7
2014,Female,44.2
2015,Male,46.5
2015,Female,44.2
2016,Male,46.8
2016,Female,44.4
2017,Male,47
2017,Female,44.5
2018,Male,46.8
2018,Female,44.4
2019,Male,47
2019,Female,44.4
